,addr,response
0,18.194.1.113:8080,Connection refused
1,18.194.1.113:8080,Connection refused
2,18.194.1.113:8080,Connection refused
3,18.194.1.113:8080,Connection refused
4,18.194.1.113:8080,Connection refused
5,18.194.1.113:8080,Connection refused
6,18.194.1.113:8080,Connection refused
7,18.194.1.113:8080,Connection refused
8,18.194.1.113:8080,Connection refused
9,18.194.1.113:8080,Connection refused
0,54.212.44.22:8080,Connection refused
1,54.212.44.22:8080,Connection refused
2,54.212.44.22:8080,Connection refused
3,54.212.44.22:8080,Connection refused
4,54.212.44.22:8080,Connection refused
5,54.212.44.22:8080,Connection refused
6,54.212.44.22:8080,Connection refused
7,54.212.44.22:8080,Connection refused
8,54.212.44.22:8080,Connection refused
9,54.212.44.22:8080,Connection refused
0,52.37.171.120:8080,Connection refused
1,52.37.171.120:8080,Connection refused
2,52.37.171.120:8080,Connection refused
3,52.37.171.120:8080,Connection refused
4,52.37.171.120:8080,Connection refused
5,52.37.171.120:8080,Connection refused
6,52.37.171.120:8080,Connection refused
7,52.37.171.120:8080,Connection refused
8,52.37.171.120:8080,Connection refused
9,52.37.171.120:8080,Connection refused
0,13.251.1.108:8080,Connection refused
1,13.251.1.108:8080,Connection refused
2,13.251.1.108:8080,Connection refused
3,13.251.1.108:8080,Connection refused
4,13.251.1.108:8080,Connection refused
5,13.251.1.108:8080,Connection refused
6,13.251.1.108:8080,Connection refused
7,13.251.1.108:8080,Connection refused
8,13.251.1.108:8080,Connection refused
9,13.251.1.108:8080,Connection refused
0,3.96.158.148:8080,Connection refused
1,3.96.158.148:8080,Connection refused
2,3.96.158.148:8080,Connection refused
3,3.96.158.148:8080,Connection refused
4,3.96.158.148:8080,Connection refused
5,3.96.158.148:8080,Connection refused
6,3.96.158.148:8080,Connection refused
7,3.96.158.148:8080,Connection refused
8,3.96.158.148:8080,Connection refused
9,3.96.158.148:8080,Connection refused
