,addr,response
0,121.37.199.23:81,Connection refused
1,121.37.199.23:81,Connection refused
2,121.37.199.23:81,Connection refused
3,121.37.199.23:81,Connection refused
4,121.37.199.23:81,Connection refused
5,121.37.199.23:81,Connection refused
6,121.37.199.23:81,Connection refused
7,121.37.199.23:81,Connection refused
8,121.37.199.23:81,Connection refused
9,121.37.199.23:81,Connection refused
0,13.37.221.66:81,Connection refused
1,13.37.221.66:81,Connection refused
2,13.37.221.66:81,Connection refused
3,13.37.221.66:81,Connection refused
4,13.37.221.66:81,Connection refused
5,13.37.221.66:81,Connection refused
6,13.37.221.66:81,Connection refused
7,13.37.221.66:81,Connection refused
8,13.37.221.66:81,Connection refused
9,13.37.221.66:81,Connection refused
