,addr,response
0,35.183.209.66:84,Connection refused
1,35.183.209.66:84,Connection refused
2,35.183.209.66:84,Connection refused
3,35.183.209.66:84,Connection refused
4,35.183.209.66:84,Connection refused
5,35.183.209.66:84,Connection refused
6,35.183.209.66:84,Connection refused
7,35.183.209.66:84,Connection refused
8,35.183.209.66:84,Connection refused
9,35.183.209.66:84,Connection refused
0,3.96.158.148:84,Connection refused
1,3.96.158.148:84,Connection refused
2,3.96.158.148:84,Connection refused
3,3.96.158.148:84,Connection refused
4,3.96.158.148:84,Connection refused
5,3.96.158.148:84,Connection refused
6,3.96.158.148:84,Connection refused
7,3.96.158.148:84,Connection refused
8,3.96.158.148:84,Connection refused
9,3.96.158.148:84,Connection refused
0,13.208.214.85:84,Connection refused
1,13.208.214.85:84,Connection refused
2,13.208.214.85:84,Connection refused
3,13.208.214.85:84,Connection refused
4,13.208.214.85:84,Connection refused
5,13.208.214.85:84,Connection refused
6,13.208.214.85:84,Connection refused
7,13.208.214.85:84,Connection refused
8,13.208.214.85:84,Connection refused
9,13.208.214.85:84,Connection refused
0,18.229.155.61:84,Connection refused
1,18.229.155.61:84,Connection refused
2,18.229.155.61:84,Connection refused
3,18.229.155.61:84,Connection refused
4,18.229.155.61:84,Connection refused
5,18.229.155.61:84,Connection refused
6,18.229.155.61:84,Connection refused
7,18.229.155.61:84,Connection refused
8,18.229.155.61:84,Connection refused
9,18.229.155.61:84,Connection refused
0,13.37.221.66:84,Connection refused
1,13.37.221.66:84,Connection refused
2,13.37.221.66:84,Connection refused
3,13.37.221.66:84,Connection refused
4,13.37.221.66:84,Connection refused
5,13.37.221.66:84,Connection refused
6,13.37.221.66:84,Connection refused
7,13.37.221.66:84,Connection refused
8,13.37.221.66:84,Connection refused
9,13.37.221.66:84,Connection refused
